params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.632,0.632,0.611,0.611,0.611,0.619,1
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.632,0.632,0.611,0.611,0.611,0.619,1
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.632,0.632,0.611,0.611,0.611,0.619,1
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.632,0.632,0.611,0.611,0.611,0.619,1
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.632,0.632,0.611,0.611,0.611,0.619,1
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.632,0.632,0.611,0.389,0.611,0.575,10
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.632,0.632,0.611,0.611,0.611,0.619,1
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.632,0.632,0.611,0.389,0.611,0.575,10
"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.632,0.632,0.611,0.389,0.611,0.575,10
"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.632,0.632,0.611,0.389,0.611,0.575,10
"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.579,0.526,0.5,0.444,0.611,0.532,19
"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.632,0.632,0.611,0.389,0.611,0.575,10
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.579,0.632,0.389,0.389,0.667,0.531,20
"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.632,0.632,0.611,0.389,0.611,0.575,10
"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.684,0.526,0.556,0.611,0.611,0.598,7
"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.632,0.632,0.611,0.389,0.611,0.575,10
"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.632,0.526,0.5,0.556,0.667,0.576,9
"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.632,0.632,0.611,0.389,0.611,0.575,10
"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.737,0.579,0.556,0.611,0.5,0.596,8
"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.632,0.632,0.611,0.389,0.611,0.575,10
